id;dt_ocorrencia;uf;regiao;classificacao_da_ocorrencia
7762;21/03/2018;SP;Sudeste;Incidente
7759;14/03/2018;MG;Sudeste;Acidente
7758;26/01/2018;GO;Centro-Oeste;Acidente
7758;26/01/2018;GO;Centro-Oeste;Acidente
7757;18/03/2018;RS;Sul;Incidente Grave
5552;07/07/2009;PR;Sul;Acidente
5118;13/10/2006;ES;Sudeste;Acidente
7756;18/03/2018;PE;Nordeste;Incidente Grave
7755;18/03/2018;AL;Nordeste;Incidente Grave
7754;17/03/2018;SP;Sudeste;Incidente Grave
7754;17/03/2018;SP;Sudeste;Incidente Grave
7753;16/03/2018;SP;Sudeste;Acidente
5387;20/08/2002;Indeterminado;;Acidente
5665;20/11/2002;Indeterminado;;Acidente
7752;16/03/2018;SP;Sudeste;Incidente
7526;20/09/2017;MG;Sudeste;Incidente
7525;21/09/2017;MT;Centro-Oeste;Acidente
7524;15/09/2017;RJ;Sudeste;Ocorrência de Solo
7523;17/09/2017;SP;Sudeste;Incidente
7522;15/09/2017;RR;Norte;Acidente
7521;11/09/2017;SP;Sudeste;Incidente
7520;11/09/2017;SP;Sudeste;Incidente
7519;07/09/2017;PR;Sul;Incidente
7518;05/09/2017;PR;Sul;Incidente
7516;02/09/2017;MG;Sudeste;Acidente
7514;11/09/2017;SC;Sul;Incidente
7517;02/08/2017;PE;Nordeste;Incidente
7515;06/09/2017;MT;Centro-Oeste;Incidente Grave
7229;07/02/2017;RJ;Sudeste;Incidente
7228;11/04/2017;SP;Sudeste;Incidente
7227;05/04/2017;RJ;Sudeste;Ocorrência de Solo
7513;08/09/2017;PR;Sul;Incidente
7512;03/09/2017;SP;Sudeste;Acidente
7511;06/09/2017;MG;Sudeste;Acidente
7510;07/09/2017;MG;Sudeste;Incidente
7236;04/05/2017;MG;Sudeste;Incidente
7235;23/04/2017;RS;Sul;Acidente
7234;20/04/2017;BA;Nordeste;Incidente
7233;14/04/2017;MS;Centro-Oeste;Acidente
7232;17/02/2017;AM;Norte;Acidente
7231;04/02/2017;SC;Sul;Incidente
7230;13/02/2017;ES;Sudeste;Incidente
7226;05/04/2017;MG;Sudeste;Incidente
7225;01/04/2017;GO;Centro-Oeste;Acidente
7224;06/02/2017;SP;Sudeste;Acidente
7222;23/01/2017;DF;Centro-Oeste;Incidente
7990;26/02/2011;RJ;Sudeste;Incidente
7989;01/03/2011;RJ;Sudeste;Incidente
7223;18/01/2017;SP;Sudeste;Incidente
7221;14/01/2017;SP;Sudeste;Incidente
7993;10/01/2011;RJ;Sudeste;Incidente
7506;03/07/2017;GO;Centro-Oeste;Incidente
7992;23/01/2011;RN;Nordeste;Incidente
7991;06/02/2011;MT;Centro-Oeste;Incidente
7988;26/03/2011;RJ;Sudeste;Incidente
7986;18/04/2011;SP;Sudeste;Incidente
7987;07/04/2011;PR;Sul;Incidente
7985;29/04/2011;RJ;Sudeste;Incidente
7750;15/03/2018;PA;Norte;Acidente
7748;13/03/2018;SP;Sudeste;Acidente
7749;11/03/2018;SP;Sudeste;Incidente
7747;10/03/2018;PI;Nordeste;Acidente
7746;11/03/2018;PR;Sul;Acidente
7741;07/03/2018;PB;Nordeste;Incidente Grave
7745;11/03/2018;SP;Sudeste;Incidente
7744;07/03/2018;SP;Sudeste;Incidente
7743;08/03/2018;MT;Centro-Oeste;Incidente
7742;04/03/2018;MG;Sudeste;Incidente Grave
7741;07/03/2018;PB;Nordeste;Incidente Grave
7740;07/03/2018;BA;Nordeste;Acidente
7739;08/03/2018;SC;Sul;Acidente
7738;06/03/2018;RS;Sul;Acidente
7508;05/09/2017;MG;Sudeste;Incidente Grave
7507;03/09/2017;GO;Centro-Oeste;Incidente
7509;09/09/2017;PE;Nordeste;Acidente
7505;29/08/2017;RJ;Sudeste;Incidente
7504;08/09/2017;PA;Norte;Acidente
7497;07/06/2017;SP;Sudeste;Incidente
7496;27/08/2017;MG;Sudeste;Incidente
7495;12/08/2017;SP;Sudeste;Incidente
7503;07/09/2017;PA;Norte;Acidente
7501;06/06/2017;MG;Sudeste;Incidente
7500;02/09/2017;MT;Centro-Oeste;Incidente
7499;27/08/2017;ES;Sudeste;Incidente Grave
7498;31/08/2017;MG;Sudeste;Incidente Grave
7494;31/08/2017;BA;Nordeste;Incidente
7220;26/12/2016;PE;Nordeste;Incidente
7219;31/12/2016;SP;Sudeste;Ocorrência de Solo
7218;03/01/2017;RS;Sul;Acidente
7217;27/12/2016;BA;Nordeste;Acidente
7216;26/10/2016;BA;Nordeste;Acidente
7215;28/10/2016;SP;Sudeste;Incidente
7214;14/10/2016;AM;Norte;Incidente
7213;27/10/2016;SP;Sudeste;Incidente
7212;15/02/2017;MT;Centro-Oeste;Incidente
7211;20/02/2017;SP;Sudeste;Incidente
7210;23/02/2017;SC;Sul;Acidente
7984;18/05/2011;DF;Centro-Oeste;Incidente
7983;23/05/2011;DF;Centro-Oeste;Incidente
7982;26/05/2011;MG;Sudeste;Incidente
7979;28/06/2011;RJ;Sudeste;Incidente
7737;06/03/2018;MT;Centro-Oeste;Incidente Grave
7981;28/05/2011;RJ;Sudeste;Incidente
7980;22/06/2011;PA;Norte;Incidente
7735;28/01/2018;RJ;Sudeste;Acidente
7734;19/02/2018;SP;Sudeste;Acidente
7978;01/07/2011;SP;Sudeste;Incidente
7736;24/01/2018;SP;Sudeste;Ocorrência de Solo
7734;19/02/2018;SP;Sudeste;Acidente
7733;17/02/2018;SP;Sudeste;Incidente
7732;22/02/2018;MT;Centro-Oeste;Acidente
7731;09/02/2018;MT;Centro-Oeste;Acidente
7731;09/02/2018;MT;Centro-Oeste;Acidente
7730;01/03/2018;SP;Sudeste;Ocorrência de Solo
7729;15/02/2018;MS;Centro-Oeste;Acidente
7727;25/02/2018;SP;Sudeste;Acidente
7728;22/02/2018;GO;Centro-Oeste;Acidente
7726;24/02/2018;AM;Norte;Incidente
7489;21/08/2017;RJ;Sudeste;Incidente
7488;17/08/2017;GO;Centro-Oeste;Incidente
7487;10/08/2017;MT;Centro-Oeste;Incidente
7725;04/03/2018;RS;Sul;Acidente
7493;20/08/2017;MT;Centro-Oeste;Incidente Grave
7492;29/08/2017;SP;Sudeste;Incidente
7491;27/08/2017;ES;Sudeste;Incidente Grave
7490;20/08/2017;TO;Norte;Acidente
7486;22/08/2017;AM;Norte;Acidente
7485;20/08/2017;SP;Sudeste;Incidente
7484;16/08/2017;BA;Nordeste;Incidente
7483;24/07/2017;GO;Centro-Oeste;Incidente
7482;17/08/2017;RJ;Sudeste;Incidente Grave
7481;19/07/2017;RJ;Sudeste;Incidente Grave
7480;11/08/2017;AC;Norte;Incidente
7479;30/07/2017;PA;Norte;Incidente
7474;08/08/2017;PA;Norte;Incidente Grave
7206;08/04/2017;PI;Nordeste;Acidente
7209;04/12/2016;SP;Sudeste;Incidente
7208;10/04/2017;MG;Sudeste;Acidente
7207;06/04/2017;SP;Sudeste;Incidente
7205;13/04/2017;MS;Centro-Oeste;Acidente
7204;04/01/2017;RJ;Sudeste;Ocorrência de Solo
7203;04/01/2017;GO;Centro-Oeste;Acidente
7203;04/01/2017;GO;Centro-Oeste;Acidente
7202;05/01/2017;PR;Sul;Acidente
7201;07/12/2016;SP;Sudeste;Incidente
7200;02/12/2016;SP;Sudeste;Incidente Grave
7199;01/12/2016;SP;Sudeste;Incidente
7198;05/12/2016;PR;Sul;Acidente
7197;12/10/2016;SP;Sudeste;Incidente
7975;16/07/2011;AM;Norte;Incidente
7974;20/07/2011;MG;Sudeste;Incidente
7196;19/09/2016;DF;Centro-Oeste;Incidente
7977;04/07/2011;SC;Sul;Incidente
7976;15/07/2011;RJ;Sudeste;Incidente
7973;03/08/2011;RJ;Sudeste;Incidente
7972;07/08/2011;AM;Norte;Incidente
7970;14/08/2013;MS;Centro-Oeste;Incidente
